344	111	LATIN CAPITAL LETTER R WITH CARON
345	1460	LATIN SMALL LETTER R WITH CARON
346	3020	LATIN CAPITAL LETTER S WITH ACUTE
347	20654	LATIN SMALL LETTER S WITH ACUTE
348	88	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
349	99	LATIN SMALL LETTER S WITH CIRCUMFLEX
350	71307	LATIN CAPITAL LETTER S WITH CEDILLA
351	656190	LATIN SMALL LETTER S WITH CEDILLA
352	1906	LATIN CAPITAL LETTER S WITH CARON
353	16035	LATIN SMALL LETTER S WITH CARON
354	52	LATIN CAPITAL LETTER T WITH CEDILLA
355	805	LATIN SMALL LETTER T WITH CEDILLA
356	142	LATIN CAPITAL LETTER T WITH CARON
357	281	LATIN SMALL LETTER T WITH CARON
358	297	LATIN CAPITAL LETTER T WITH STROKE
359	3252	LATIN SMALL LETTER T WITH STROKE
360	29	LATIN CAPITAL LETTER U WITH TILDE
361	631	LATIN SMALL LETTER U WITH TILDE
362	153	LATIN CAPITAL LETTER U WITH MACRON
363	3542	LATIN SMALL LETTER U WITH MACRON
364	25	LATIN CAPITAL LETTER U WITH BREVE
365	121	LATIN SMALL LETTER U WITH BREVE
366	137	LATIN CAPITAL LETTER U WITH RING ABOVE
367	998	LATIN SMALL LETTER U WITH RING ABOVE
368	49	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
369	364	LATIN SMALL LETTER U WITH DOUBLE ACUTE
370	65	LATIN CAPITAL LETTER U WITH OGONEK
371	293	LATIN SMALL LETTER U WITH OGONEK
372	68	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
373	292	LATIN SMALL LETTER W WITH CIRCUMFLEX
374	67	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
375	97	LATIN SMALL LETTER Y WITH CIRCUMFLEX
376	833	LATIN CAPITAL LETTER Y WITH DIAERESIS
377	313	LATIN CAPITAL LETTER Z WITH ACUTE
378	1889	LATIN SMALL LETTER Z WITH ACUTE
379	3261	LATIN CAPITAL LETTER Z WITH DOT ABOVE
380	24467	LATIN SMALL LETTER Z WITH DOT ABOVE
381	586	LATIN CAPITAL LETTER Z WITH CARON
382	6535	LATIN SMALL LETTER Z WITH CARON
383	100	LATIN SMALL LETTER LONG S
384	7	LATIN SMALL LETTER B WITH STROKE
385	195	LATIN CAPITAL LETTER B WITH HOOK
386	1	LATIN CAPITAL LETTER B WITH TOPBAR
387	145	LATIN SMALL LETTER B WITH TOPBAR
388	24	LATIN CAPITAL LETTER TONE SIX
389	14	LATIN SMALL LETTER TONE SIX
390	330	LATIN CAPITAL LETTER OPEN O
391	77	LATIN CAPITAL LETTER C WITH HOOK
392	38	LATIN SMALL LETTER C WITH HOOK
393	57	LATIN CAPITAL LETTER AFRICAN D
394	142	LATIN CAPITAL LETTER D WITH HOOK
395	164	LATIN CAPITAL LETTER D WITH TOPBAR
396	148	LATIN SMALL LETTER D WITH TOPBAR
397	2458	LATIN SMALL LETTER TURNED DELTA
398	189	LATIN CAPITAL LETTER REVERSED E
399	265	LATIN CAPITAL LETTER SCHWA
400	229	LATIN CAPITAL LETTER OPEN E
401	142	LATIN CAPITAL LETTER F WITH HOOK
402	1521	LATIN SMALL LETTER F WITH HOOK
403	68	LATIN CAPITAL LETTER G WITH HOOK
404	2212	LATIN CAPITAL LETTER GAMMA
405	148	LATIN SMALL LETTER HV
406	449	LATIN CAPITAL LETTER IOTA
407	28017	LATIN CAPITAL LETTER I WITH STROKE
408	534	LATIN CAPITAL LETTER K WITH HOOK
409	374	LATIN SMALL LETTER K WITH HOOK
410	1903	LATIN SMALL LETTER L WITH BAR
411	75	LATIN SMALL LETTER LAMBDA WITH STROKE
412	83	LATIN CAPITAL LETTER TURNED M
413	150	LATIN CAPITAL LETTER N WITH LEFT HOOK
414	191	LATIN SMALL LETTER N WITH LONG RIGHT LEG
415	15	LATIN CAPITAL LETTER O WITH MIDDLE TILDE
416	2257	LATIN CAPITAL LETTER O WITH HORN
417	3873	LATIN SMALL LETTER O WITH HORN
418	17	LATIN CAPITAL LETTER OI
419	9	LATIN SMALL LETTER OI
420	139	LATIN CAPITAL LETTER P WITH HOOK
421	94	LATIN SMALL LETTER P WITH HOOK
422	357	LATIN LETTER YR
423	98	LATIN CAPITAL LETTER TONE TWO
424	173	LATIN SMALL LETTER TONE TWO
425	351	LATIN CAPITAL LETTER ESH
426	37135	LATIN LETTER REVERSED ESH LOOP
427	9	LATIN SMALL LETTER T WITH PALATAL HOOK
428	488	LATIN CAPITAL LETTER T WITH HOOK
429	35	LATIN SMALL LETTER T WITH HOOK
430	123	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
431	147	LATIN CAPITAL LETTER U WITH HORN
432	4483	LATIN SMALL LETTER U WITH HORN
433	760	LATIN CAPITAL LETTER UPSILON
434	275	LATIN CAPITAL LETTER V WITH HOOK
435	412	LATIN CAPITAL LETTER Y WITH HOOK
436	367	LATIN SMALL LETTER Y WITH HOOK
437	14	LATIN CAPITAL LETTER Z WITH STROKE
438	16	LATIN SMALL LETTER Z WITH STROKE
439	577	LATIN CAPITAL LETTER EZH
440	624	LATIN CAPITAL LETTER EZH REVERSED
441	52	LATIN SMALL LETTER EZH REVERSED
442	95	LATIN SMALL LETTER EZH WITH TAIL
443	3	LATIN LETTER TWO WITH STROKE
444	6	LATIN CAPITAL LETTER TONE FIVE
445	1	LATIN SMALL LETTER TONE FIVE
446	85	LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
447	186	LATIN LETTER WYNN
448	9	LATIN LETTER DENTAL CLICK
449	32	LATIN LETTER LATERAL CLICK
450	28	LATIN LETTER ALVEOLAR CLICK
451	28	LATIN LETTER RETROFLEX CLICK
453	2	LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
454	1	LATIN SMALL LETTER DZ WITH CARON
456	1	LATIN CAPITAL LETTER L WITH SMALL LETTER J
461	59	LATIN CAPITAL LETTER A WITH CARON
462	479	LATIN SMALL LETTER A WITH CARON
463	64	LATIN CAPITAL LETTER I WITH CARON
464	150	LATIN SMALL LETTER I WITH CARON
465	23	LATIN CAPITAL LETTER O WITH CARON
466	73	LATIN SMALL LETTER O WITH CARON
467	1	LATIN CAPITAL LETTER U WITH CARON
468	35	LATIN SMALL LETTER U WITH CARON
469	3	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
470	45	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
471	32	LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
472	45	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
473	56	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
474	156	LATIN SMALL LETTER U WITH DIAERESIS AND CARON
475	4	LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
476	21	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
477	2476	LATIN SMALL LETTER TURNED E
478	78	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
479	720	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
480	2	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
481	50	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
482	2	LATIN CAPITAL LETTER AE WITH MACRON
483	3	LATIN SMALL LETTER AE WITH MACRON
484	215	LATIN CAPITAL LETTER G WITH STROKE
485	109	LATIN SMALL LETTER G WITH STROKE
486	105	LATIN CAPITAL LETTER G WITH CARON
487	83	LATIN SMALL LETTER G WITH CARON
488	62	LATIN CAPITAL LETTER K WITH CARON
489	103	LATIN SMALL LETTER K WITH CARON
490	6	LATIN CAPITAL LETTER O WITH OGONEK
491	33	LATIN SMALL LETTER O WITH OGONEK
492	14	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
493	17	LATIN SMALL LETTER O WITH OGONEK AND MACRON
494	8	LATIN CAPITAL LETTER EZH WITH CARON
496	111	LATIN SMALL LETTER J WITH CARON
499	1	LATIN SMALL LETTER DZ
500	7	LATIN CAPITAL LETTER G WITH ACUTE
501	25	LATIN SMALL LETTER G WITH ACUTE
502	2	LATIN CAPITAL LETTER HWAIR
503	35	LATIN CAPITAL LETTER WYNN
504	1	LATIN CAPITAL LETTER N WITH GRAVE
506	158	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
507	683	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
508	1	LATIN CAPITAL LETTER AE WITH ACUTE
509	3	LATIN SMALL LETTER AE WITH ACUTE
510	47	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
511	113	LATIN SMALL LETTER O WITH STROKE AND ACUTE
512	2	LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
513	23	LATIN SMALL LETTER A WITH DOUBLE GRAVE
514	10	LATIN CAPITAL LETTER A WITH INVERTED BREVE
515	106	LATIN SMALL LETTER A WITH INVERTED BREVE
516	2	LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
517	36	LATIN SMALL LETTER E WITH DOUBLE GRAVE
518	1	LATIN CAPITAL LETTER E WITH INVERTED BREVE
519	54	LATIN SMALL LETTER E WITH INVERTED BREVE
520	5	LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
521	38	LATIN SMALL LETTER I WITH DOUBLE GRAVE
522	180	LATIN CAPITAL LETTER I WITH INVERTED BREVE
523	825	LATIN SMALL LETTER I WITH INVERTED BREVE
524	2	LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
525	31	LATIN SMALL LETTER O WITH DOUBLE GRAVE
526	7	LATIN CAPITAL LETTER O WITH INVERTED BREVE
527	366	LATIN SMALL LETTER O WITH INVERTED BREVE
528	2	LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
529	16	LATIN SMALL LETTER R WITH DOUBLE GRAVE
530	9	LATIN CAPITAL LETTER R WITH INVERTED BREVE
531	6	LATIN SMALL LETTER R WITH INVERTED BREVE
